stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
5.280,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.292,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.304,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.316,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.328,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.340,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.352,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.364,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.376,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.388,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.400,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.412,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.424,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.436,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.448,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.460,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.472,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.484,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.496,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.508,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.520,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.532,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.544,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.556,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.568,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.580,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.592,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.604,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.616,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.628,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.640,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.652,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.664,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.676,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.688,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.700,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.712,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.724,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.736,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.748,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.760,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.772,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.784,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.796,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.808,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.820,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.832,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.844,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.856,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.868,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.880,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.892,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.904,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.916,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.928,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.940,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.952,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.964,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.976,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.988,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.000,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.012,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.024,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.036,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.048,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.060,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.072,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.084,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.096,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.108,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.120,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.132,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.144,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.156,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.168,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.180,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.192,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
